epoch,loss,lr,mae,val_loss,val_mae
0,0.24358610460760804,0.001,0.24358626,0.23141459220467578,0.2314147
1,0.22416892342879985,0.001,0.22416896,0.22243508439603768,0.2224352
2,0.2192846425909428,0.001,0.21928479,0.21675305086516236,0.2167531
3,0.2164302744928432,0.001,0.21643034,0.2182708148797438,0.21827094
4,0.2143836018536337,0.001,0.21438347,0.21583492262401074,0.21583484
5,0.21288443358965498,0.001,0.21288432,0.21215989757962236,0.21215983
6,0.21140104703228949,0.001,0.21140091,0.21101810122544287,0.21101812
7,0.2103875427773591,0.001,0.21038748,0.210443059373961,0.21044311
8,0.20919474381454534,0.001,0.20919472,0.2076713941140005,0.20767133
9,0.2084358549858295,0.001,0.20843594,0.20982501384868704,0.20982498
10,0.20757808237987438,0.001,0.20757799,0.20634362004499943,0.20634362
11,0.20674191075076895,0.001,0.20674175,0.20935949725616032,0.20935962
12,0.20612024029615947,0.001,0.20612018,0.2071732026962217,0.2071732
13,0.2054831917246341,0.001,0.20548323,0.20749907191740116,0.20749922
14,0.20437068795369254,0.00080000004,0.20437084,0.2047590304408317,0.20475909
15,0.20395039999681844,0.00080000004,0.2039505,0.2093823316990771,0.20938227
16,0.20350396212605462,0.00080000004,0.203504,0.20546304851746477,0.20546302
17,0.20312450888307737,0.00080000004,0.20312433,0.2041808620529887,0.20418082
18,0.20271622460088495,0.00080000004,0.20271643,0.2031885246382635,0.2031885
19,0.20248401907866795,0.00080000004,0.20248416,0.2026456724841358,0.20264573
20,0.20208009168336463,0.00080000004,0.2020802,0.20261889752743237,0.20261888
21,0.20178213058108846,0.00080000004,0.2017822,0.2030346067761367,0.20303452
22,0.2014474805623222,0.00080000004,0.2014476,0.20544185066226334,0.20544186
23,0.20055251293592744,0.00064000004,0.20055261,0.2019136095991229,0.20191373
24,0.20027670662815283,0.00064000004,0.20027645,0.2033561039814695,0.20335598
25,0.20009687786104124,0.00064000004,0.20009679,0.20168935758387432,0.20168917
26,0.1997251702916833,0.00064000004,0.1997253,0.20163590447019694,0.20163593
27,0.19949200692507904,0.00064000004,0.19949216,0.2040933063268215,0.20409326
28,0.19923264805506283,0.00064000004,0.19923289,0.20165358109527773,0.20165364
29,0.19860673900504744,0.00051200006,0.19860668,0.20100017050657484,0.20100024
30,0.1983497531981522,0.00051200006,0.19834982,0.20101951628739992,0.20101959
31,0.19815369485485965,0.00051200006,0.19815373,0.2019364979095181,0.20193653
32,0.19787223138497917,0.00051200006,0.1978723,0.20180295436003326,0.20180301
33,0.197239801770812,0.00040960003,0.19723983,0.2015051114493779,0.20150518
