epoch,loss,lr,mae,val_loss,val_mae
0,0.24207676399229222,0.001,0.24207677,0.23135610044221053,0.23135604
1,0.2252000712072802,0.001,0.22520003,0.2239689074358797,0.22396883
2,0.22165201049992278,0.001,0.22165214,0.22160469043382136,0.22160475
3,0.21908986572863803,0.001,0.21908966,0.2208433514074376,0.22084336
4,0.21755857916403504,0.001,0.21755853,0.21930169239917371,0.21930163
5,0.21584340176446823,0.001,0.2158435,0.21644010202710307,0.21644004
6,0.21427168331248916,0.001,0.21427159,0.21995187018820994,0.21995187
7,0.21315796751081445,0.001,0.21315776,0.21536417933153365,0.21536419
8,0.2122042749516907,0.001,0.2122043,0.21549874962599577,0.21549886
9,0.21148530580056876,0.001,0.21148522,0.21443310879465377,0.21443313
10,0.2106686832094378,0.001,0.2106689,0.21903415698140494,0.21903424
11,0.210076599639027,0.001,0.21007688,0.21253595964759753,0.2125359
12,0.20929435724763706,0.001,0.20929445,0.2124972376517754,0.21249713
13,0.2086759615330239,0.001,0.20867614,0.21288689653399848,0.21288688
14,0.20823358800713468,0.001,0.20823371,0.21075267307529094,0.21075282
15,0.20763858604853086,0.001,0.20763871,0.20980291567439172,0.20980293
16,0.20729035953285818,0.001,0.20729022,0.21258030361399838,0.21258037
17,0.20674972458554713,0.001,0.2067497,0.21039935076615385,0.21039931
18,0.2064193432761399,0.001,0.20641913,0.21194431696849447,0.21194431
19,0.205425878366189,0.00080000004,0.20542581,0.20909267613552768,0.2090927
20,0.20507686602812827,0.00080000004,0.20507674,0.20904154030367345,0.20904152
21,0.20467564012013523,0.00080000004,0.20467585,0.208407041971906,0.20840706
22,0.20433380674757814,0.00080000004,0.20433368,0.20884525150179484,0.2088452
23,0.20413770331018985,0.00080000004,0.20413785,0.21326454143805024,0.21326445
24,0.20385021226474023,0.00080000004,0.20385024,0.2093614411620754,0.20936142
25,0.20299786525509414,0.00064000004,0.202998,0.2088850693249199,0.20888504
26,0.20271630135558924,0.00064000004,0.20271625,0.20748306917363937,0.2074831
27,0.20245122888066364,0.00064000004,0.20245118,0.20705038504009854,0.20705044
28,0.2021603421268391,0.00064000004,0.20216037,0.20813789195476434,0.20813793
29,0.20200439480831472,0.00064000004,0.20200448,0.20678054237755547,0.20678057
30,0.20169609152869203,0.00064000004,0.20169608,0.206477573299214,0.20647764
31,0.2015703229598017,0.00064000004,0.2015702,0.20745597034513324,0.20745598
32,0.20130054558957178,0.00064000004,0.20130064,0.20672101050518812,0.20672096
33,0.20107606139642664,0.00064000004,0.20107612,0.20728020378819098,0.20728002
34,0.20041376949802775,0.00051200006,0.2004137,0.2069340743332437,0.20693411
35,0.20018145177768165,0.00051200006,0.2001815,0.20752563839973945,0.2075257
36,0.20010769288477448,0.00051200006,0.20010765,0.2071469314670527,0.20714694
